count,storyText,locationEvent,socialEvent,locationEventSize,socialEventSize,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,order of stories,order of perspectives,participant 2 order - stories,participant 2 order  - schemas types,key_resp_8.keys,key_resp_8.rt,key_resp_5.keys,key_resp_5.rt,key_resp_7.keys,key_resp_7.rt,story_presses.keys,story_presses.rt,participant,session,date,expName,frameRate,
2,"They looked at the menus as well, which were full of Italian classics like Carbonara and Tiramisu, and in the back section of the menu was a lengthy drink selection.",2,1,,,0,2,2,2,,,,,0,7,7,7,,,,,,,,,,,1,0.13448370699916268,',001,2019_Feb_07_1354,body_behavioural,59.98213588031071,
2,"After awhile, Mr. Shelton brought the conversation around to business.",2,2,,,0,2,2,2,,,,,0,8,8,8,,,,,,,,,,,9,0.018206851000286406,',001,2019_Feb_07_1354,body_behavioural,59.98213588031071,
2,"“Mr. Gordon, we really admire what you’re doing at your company.",2,2,,,0,2,2,2,,,,,0,9,9,9,,,,,,,,,,,1,0.1515285440000298,',001,2019_Feb_07_1354,body_behavioural,59.98213588031071,
2,We think it’s genius; we want to support your vision and make this tiny company of yours internationally known.,2,2,,,0,2,2,2,,,,,0,10,10,10,,,,,,,,,,,9,0.0016571159994782647,',001,2019_Feb_07_1354,body_behavioural,59.98213588031071,
2,"But honestly, your company doesn’t have the resources to reach international markets right now, maybe in a few years you could, but by that time, other companies may have already filled your niche.",2,2,,,0,2,2,2,,,,,0,11,11,11,,,,,,,,,,,1,0.0837514419999934,',001,2019_Feb_07_1354,body_behavioural,59.98213588031071,
2,I think we should join forces.”,2,2,,,0,2,2,2,,,,,0,12,12,12,,,,,,,,,,,9,0.06774198399943998,',001,2019_Feb_07_1354,body_behavioural,59.98213588031071,
2,The waitress came up to them and asked if they were ready to order.,3,2,,,0,2,2,2,,,,,0,13,13,13,,,,,,,,,,,1,0.20238289300141332,',001,2019_Feb_07_1354,body_behavioural,59.98213588031071,
2,"Mr. Gordon ordered a medium-rare steak and martini, and Mr. Shelton ordered veal and a manhattan. ",3,2,,,0,2,2,2,,,,,0,14,14,14,,,,,,,,,,,9,0.36842333799904736,',001,2019_Feb_07_1354,body_behavioural,59.98213588031071,
2,"Then Mr. Shelton continued, “Look, I’ve talked to other members of the board, and we are prepared to offer $600 million to buy your company. ",3,2,,,0,2,2,2,,,,,0,15,15,15,,,,,,,,,,,None,,',001,2019_Feb_07_1354,body_behavioural,59.98213588031071,
2,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,',001,2019_Feb_07_1354,body_behavioural,59.98213588031071,
